%Latitude (°)	Longitude (°)	Elevation	Published distance from coast (km)	Calculated distance from coast (km)	Temperature (°C)	Accumulation (cm/year)	Deuterium (per mill) : mean	Oxygen 18 (per mill) : mean	Deuterium excess (per mill) : mean
-76.54	95.19	3720	1042	985	-58.19	NaN	NaN	-53.17	NaN
-76.43	95.34	3700	1003	980	-57.94	NaN	NaN	-54.42	NaN
-76.05	95.82	3498	875	963	-55.39	NaN	NaN	-51.63	NaN
-76.06	95.81	3440	878	964	-54.66	NaN	NaN	-53.25	NaN
-75.4	96.65	3350	655	940	-53.53	NaN	NaN	-44.9	NaN
-75.15	96.98	3130	567	932	-50.76	NaN	NaN	-46.4	NaN
-74.84	97.37	2700	462	919	-45.34	NaN	NaN	-43.2	NaN
-74.73	97.51	2700	425	908	-45.34	NaN	NaN	-36.6	NaN
-71.48	96.16	2110	187	544	-37.91	NaN	NaN	-34	NaN
-67.34	93.52	570	30	76	-18.5	NaN	NaN	-19.59	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-139	-18.13	6
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-428	-55.5	16
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-221	-27.51	0.9
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-158	-20.48	5.8
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-149	-19.28	5.2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-147	-19.01	5.1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-146	-18.81	4.5
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-142	-18.38	5
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-313.5	-39.85	5.3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-315	-40.3	7.4
-77.53	167.28	10	NaN	33	NaN	NaN	-145.79	NaN	NaN
-77.53	167.28	100	NaN	33	NaN	NaN	-181.27	NaN	NaN
-77.53	167.28	1200	NaN	33	NaN	NaN	-221.3	NaN	NaN
-77.53	167.28	1500	NaN	33	NaN	NaN	-291.49	NaN	NaN
-77.53	167.28	2110	NaN	33	NaN	NaN	-276.59	NaN	NaN
-77.53	167.28	3040	NaN	33	NaN	NaN	-289.35	NaN	NaN
-77.53	167.28	3380	NaN	33	NaN	NaN	-281.43	NaN	NaN
-77.53	167.28	3560	NaN	33	NaN	NaN	-288.83	NaN	NaN
-68.65	61.12	1832	NaN	107	-29.9	121.52	-255.38	-32.43	4.03
-68.94	61.11	1997	NaN	139	-30.9	71.75	-268.96	-34.16	4.35
-69.22	61.09	2180	NaN	171	-32.5	16.2	-268.21	-34.08	4.4
-69.5	61.12	2328	NaN	202	-34.1	7.98	-290.64	-36.92	4.74
