%Latitude	Longitude	Altitude	Date	O18	H2	Air Temperature
-71.8972	103.308	NaN	NaN	-42.1	-328.4	NaN
-71.89888889	57.485	2808	1990-01-01	-39.83	-312.29	NaN
-71.9	4.597222222	1520	1998-01-01	-33.36	NaN	-25.6
-71.903975	131.335125	2810	1973-01-01	-43.45	-330.3	-46.5
-71.90773333	77.99208333	2345	NaN	-39.31	NaN	NaN
-71.91008333	158.41555	2180	2002-01-01	-34.31	-271.89	NaN
-71.93386111	158.5235167	2188	2002-01-01	-37.34	-295.99	-37
-71.98	-65.28333333	1250	1990-01-01	-23.3	-185.1	-18.1
-71.98333056	-8.724666667	559	NaN	-24.25	-189.95	-19.7
-71.98333056	-8.724666667	559	NaN	-27.02	-212.99	-19.7
-71.989	131.177	2883	1996-01-01	-44.5	-350.85	-43.8
-71.99536667	146.2041167	2145	2002-01-01	-36.14	-286.46	-42.3
-72.02258333	158.5091833	2196	2002-01-01	-38.93	-307.26	-37.3
-72.03681667	99.49423333	3279	1985-01-01	-45.65	-356.82	-47.1
-72.04	110.92	2811	1984-01-01	-43.4	-343.2	-46.7
-72.044	110.917	2811	NaN	-43.3	NaN	-46.7
-72.05318333	157.67495	2173	2002-01-01	-37.12	-295.36	NaN
-72.08718333	146.5267833	2156	2002-01-01	-38.02	-301.29	-42.6
-72.0915	58.833175	2557	1990-01-01	-43.33	-341.09	-40.9
-72.08333333	143.1833306	2360	NaN	-39.8	NaN	-44.3
-72.11243333	158.4908833	2208	2002-01-01	-33.15	-260.9	-37.7
-72.11666667	145.8833306	2290	NaN	-38.2	NaN	-42.3
-72.11728333	157.29705	2167	2002-01-01	-34.27	-271.77	NaN
-72.133	96.583	3252	1985-01-01	-45.69	-356.8	-47.1
-72.13333056	148.1833333	2220	NaN	-35.7	NaN	-41.5
-72.13333056	96.58333333	3250	NaN	-42.8	NaN	-47.4
